customer_id,feedback,rating,channel
CUST0001,Very disappointed with the product.,2,Email
CUST0002,Great service and friendly staff!,4,In-store
CUST0003,Very disappointed with the product.,1,Email
CUST0004,Excellent experience overall.,4,In-store
CUST0005,Excellent experience overall.,5,Email
CUST0006,The item arrived damaged.,1,Email
CUST0007,The item arrived damaged.,2,Email
CUST0008,Quick and easy checkout process.,4,Email
CUST0009,Quick and easy checkout process.,5,In-store
CUST0010,Great service and friendly staff!,5,In-store
CUST0011,Helpful customer support.,4,In-store
CUST0012,Excellent experience overall.,5,In-store
CUST0013,Great service and friendly staff!,4,In-store
CUST0014,Quick and easy checkout process.,4,Email
CUST0015,Product quality was acceptable.,3,Web
CUST0016,The item arrived damaged.,1,Web
CUST0017,Quick and easy checkout process.,4,In-store
CUST0018,Customer support was unhelpful.,1,Email
CUST0019,The item arrived damaged.,1,In-store
CUST0020,Great service and friendly staff!,4,Email
CUST0021,Product quality was acceptable.,3,Web
CUST0022,Excellent experience overall.,5,Email
CUST0023,Not satisfied with the return process.,2,Email
CUST0024,Loved the product quality.,5,In-store
CUST0025,Customer support was unhelpful.,2,Web
CUST0026,Loved the product quality.,5,Email
CUST0027,"It was okay, nothing special.",3,Email
CUST0028,Not satisfied with the return process.,1,Web
CUST0029,Helpful customer support.,5,In-store
CUST0030,"It was okay, nothing special.",3,In-store
